deckBranch,canonicalCards,productionEligibleMappedCards,coveragePct
Marty McFlyin's Ortho Deck::3) OrthoBullets::Recon::Hip Reconstruction::THA Primary Techniques::THA Approaches,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Pediatrics::Pediatric Foot::Cavus Deformities::Clubfoot (congenital talipes equinovarus),8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Upper Extremity::Shoulder::Midshaft Clavicle Fractures,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Spine::Pediatric Spine::Pediatric Deformity::Adolescent Idiopathic Scoliosis,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Pediatrics::Pediatric Foot::Planus Deformity::Tarsal Coalition,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Pediatrics::Pediatric Conditions::Varus & Valgus Deformities::Infantile Blount's Disease (tibia vara),8,0,0
"Marty McFlyin's Ortho Deck::3) OrthoBullets::Pediatrics::Pediatric Trauma::Upper Extremity Conditions::Obstetric Brachial Plexopathy (Erb's,  Klumpke's Palsy)",8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Basic Science::Systemic Disease::Systematic Arthropathies::Rheumatoid Arthritis,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Lower Extremity::Knee::Knee Dislocation,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Basic Science::MSK Science::Bone Basic Science::Bone Cells,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::General Trauma::Specific Presentations::Head Trauma,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::General Trauma::Compartment Syndrome::Hand & Forearm Compartment Syndrome,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::General Trauma::Infection::Wound & Hardware Infection,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Meniscal Injuries::Meniscal Injury,8,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Foot & Ankle::F&A Trauma::Ankle Sprains::High Ankle Sprain & Syndesmosis Injury,8,0,0
